Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
Nestle,"Cerelac Baby Cereal - With Milk, Rice, From 6 To 24 Months",Rs.255,,,4.4,551 Ratings
Nestle Nan Pro,"4 Follow Up Formula Powder - After 18 Months, Up To 24 Months, Stage 4",Rs.825,,,4.2,361 Ratings
Nestle,Lactogen Pro 1 Infant Formula Powder - Upto 6 Months,Rs.485,,,4.2,764 Ratings
Mamaearth,Berry Blast Toothpaste For Kids,Rs.141.55,Rs.7 OFF,,4.2,268 Ratings
Johnson's baby,Baby Cream,Rs.95,,,4.2,336 Ratings
Pampers,"Premium Care Diaper Pants - M, 7-12 kg, Cotton-Like Softness, Lotion With Aloe Vera",Rs.1177.96,16% OFF,,4.1,125 Ratings
Himalaya,Gentle Baby Wipes - With Aloe & Indian Lotus,Rs.350,,72 pcs - (Pack of 2),4.1,94 Ratings
Pampers,Premium Care Diapers - Large,Rs.1149.98,18% OFF,44 pcs,4.1,79 Ratings
Nestle Nan Pro,"1 Infant Formula With Probiotic - Up To 6 Months, Stage 1",Rs.805,,,4.1,671 Ratings
Pampers,"Active Baby Taped Diapers - Soft, Up To 12 Hours Absorption, 5 Star Skin Comfort, Large",Rs.1199,,,4.1,25 Ratings
Nestle,"Nestum Baby Cereal - Rice Fruits, From 10 To 24 Months, Rich In Nutrients",Rs.229,,,4.1,237 Ratings
Pampers,"Premium Care Diaper Pants - Extra Large, 12-17 kg, Lotion with Aloe Vera",Rs.299,,,4.1,19 Ratings
Colgate,"Kids Toothpaste - 6+ Years, Strawberry Flavour, Barbie",Rs.142.56,12% OFF,,4.1,162 Ratings
Himalaya Baby,Baby Soap - Extra Moisturizing,Rs.62,,,4,220 Ratings
Pampers,"All-Round Protection Diaper Pants - New Baby, Up To 5 kg, Anti-Rash, Ultra Absorb, Leakage Prevention For Up To 12 Hours",Rs.1048.29,19% OFF,,4.1,38 Ratings
Pampers,Diaper Pants - XXL,Rs.399,,,4.1,410 Ratings
Colgate,"Kids Anticavity Toothpaste - 6+ Years, Bubble Fruit Flavour, Batman",Rs.142.56,12% OFF,,4.1,1223 Ratings
Colgate,"Barbie Toothbrush - For Kids, Extra Soft With Tongue Cleaner",Rs.71.1,10% OFF,,4.1,736 Ratings
Pampers,Diaper Pants - Small,Rs.1170.96,16% OFF,86 pcs,4,75 Ratings
Pampers,"Active Baby Diapers - Large, 9-14 kg, Soft Stretch Waist & Sides, Up to 12 Hours Absorption",Rs.1714.02,Rs.35 OFF,,4,21 Ratings
Nestlé NAN EXCELLAPRO,"Infant Formula Powder - With Probiotic & HMOs - For Up To 6 Months, Stage 1",Rs.940,,,4,176 Ratings
Himalaya,"Baby Lotion - With Almond Oil & Olive Oil, Paraben Free",Rs.325,,,4,115 Ratings
Pampers,Diaper Pants -Medium-200,Rs.2613.67,17% OFF,,4,28 Ratings
Pampers,New Extra Extra Extra Large Size Diapers Pants,Rs.1170.96,16% OFF,,4,95 Ratings
Pampers,"All-Round Protection Diaper Pants - XXL, 15-25 kg, Ultra Absorb Core, Leakage Prevention for upto 12 Hours",Rs.1240.91,11% OFF,,4,98 Ratings
Colgate,"Kids Toothpaste - 2 To 5 Y, Anticavity, Bubble Fruit Flavour",Rs.85,,,4,219 Ratings
Horlicks,"Mother's Plus Nutrition Drink - Vanilla Flavour, For Pregnancy & Lactation",Rs.565.25,Rs.30 OFF,400 g - Carton,4,343 Ratings
Slurrp Farm,"Sprouted Ragi Powder, 100% Natural Ragi/Nachni, No Sugar, No Salt, No Milk",Rs.294,Rs.6 OFF,,4,204 Ratings
Colgate,"Kids Toothbrush - 2+ Y, Extra Soft",Rs.63,10% OFF,,4,870 Ratings
Pampers,Diaper Pants - Extra small,Rs.899,,,3.9,93 Ratings
Himalaya,"Total Care Baby Diaper Pants - Extra Large, 12-17 kg, With Anti-Rash Shield",Rs.1249,,,3.9,98 Ratings
